date,datatype,station,attributes,value
2021-01-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",3.33
2021-02-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",2.19
2021-03-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",15.14
2021-04-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",17.95
2021-05-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",22.04
2021-06-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",28.06
2021-07-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",28.59
2021-08-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",29.85
2021-09-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",25.35
2021-10-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",21.04
2021-11-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",10.73
2021-12-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",10.66
2022-01-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",1.06
2022-02-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",5.86
2022-03-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",13.84
2022-04-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",15.97
2022-05-01T00:00:00,TMAX,GHCND:USW00093824,"1,,,W",24.11
2022-06-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",27.85
2022-07-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",28.6
2022-08-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",28.05
2022-09-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",23.54
2022-10-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",17.95
2022-11-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",12.82
2022-12-01T00:00:00,TMAX,GHCND:USW00093824,"1,,,W",6.58
2023-01-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",7.06
2023-02-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",11.56
2023-03-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",11.72
2023-04-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",19.03
2023-05-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",22.6
2023-06-01T00:00:00,TMAX,GHCND:USW00093824,",,,W",25.82
